direction,code,category,primary_n,reviewed_n,primary_pct,primary_or_secondary_n
surprise->happy,PS,正向惊讶与赞赏交叠,17,42,40.476190476190474,18
surprise->happy,ME,多种情绪或评价共现,8,42,19.047619047619047,11
surprise->happy,IR,反讽、反问或隐含责备,3,42,7.142857142857142,6
surprise->happy,IM,隐含情绪与篇章推断,5,42,11.904761904761903,20
surprise->happy,CX,上下文或指代不足,4,42,9.523809523809524,5
surprise->happy,LB,标签边界或原标签疑点,5,42,11.904761904761903,7
surprise->happy,CL,明确情绪线索未被预测覆盖,0,42,0.0,0
surprise->happy,OT,暂无法解释,0,42,0.0,0
surprise->angry,PS,正向惊讶与赞赏交叠,1,48,2.083333333333333,3
surprise->angry,ME,多种情绪或评价共现,15,48,31.25,26
surprise->angry,IR,反讽、反问或隐含责备,11,48,22.916666666666664,16
surprise->angry,IM,隐含情绪与篇章推断,10,48,20.833333333333336,19
surprise->angry,CX,上下文或指代不足,5,48,10.416666666666668,5
surprise->angry,LB,标签边界或原标签疑点,4,48,8.333333333333332,9
surprise->angry,CL,明确情绪线索未被预测覆盖,2,48,4.166666666666666,2
surprise->angry,OT,暂无法解释,0,48,0.0,0
surprise->neutral,PS,正向惊讶与赞赏交叠,0,35,0.0,0
surprise->neutral,ME,多种情绪或评价共现,1,35,2.857142857142857,3
surprise->neutral,IR,反讽、反问或隐含责备,3,35,8.571428571428571,4
surprise->neutral,IM,隐含情绪与篇章推断,9,35,25.71428571428571,18
surprise->neutral,CX,上下文或指代不足,14,35,40.0,19
surprise->neutral,LB,标签边界或原标签疑点,6,35,17.142857142857142,9
surprise->neutral,CL,明确情绪线索未被预测覆盖,2,35,5.714285714285714,2
surprise->neutral,OT,暂无法解释,0,35,0.0,0
angry->sad,PS,正向惊讶与赞赏交叠,0,40,0.0,0
angry->sad,ME,多种情绪或评价共现,18,40,45.0,23
angry->sad,IR,反讽、反问或隐含责备,4,40,10.0,13
angry->sad,IM,隐含情绪与篇章推断,7,40,17.5,17
angry->sad,CX,上下文或指代不足,1,40,2.5,1
angry->sad,LB,标签边界或原标签疑点,10,40,25.0,12
angry->sad,CL,明确情绪线索未被预测覆盖,0,40,0.0,0
angry->sad,OT,暂无法解释,0,40,0.0,0
