true_label,predicted_label,count
angry,sad,203
neutral,happy,165
happy,neutral,143
sad,angry,122
sad,happy,105
angry,happy,80
happy,sad,72
angry,neutral,65
neutral,sad,60
sad,neutral,50
angry,surprise,49
surprise,angry,48
happy,angry,48
neutral,angry,44
sad,fear,43
surprise,happy,42
fear,sad,35
happy,surprise,35
surprise,neutral,35
neutral,surprise,32
angry,fear,32
fear,neutral,32
surprise,fear,29
fear,angry,28
surprise,sad,24
neutral,fear,22
fear,happy,19
fear,surprise,18
sad,surprise,16
happy,fear,12
