model_id,label,precision,recall,f1,support
dummy_most_frequent,neutral,0.00000000,0.00000000,0.00000000,1471
dummy_most_frequent,happy,0.30781189,1.00000000,0.47072808,2376
dummy_most_frequent,sad,0.00000000,0.00000000,0.00000000,1102
dummy_most_frequent,angry,0.00000000,0.00000000,0.00000000,1940
dummy_most_frequent,fear,0.00000000,0.00000000,0.00000000,391
dummy_most_frequent,surprise,0.00000000,0.00000000,0.00000000,439
016_logreg_word_char_c1_weightbalanced,neutral,0.73607427,0.75458872,0.74521652,1471
016_logreg_word_char_c1_weightbalanced,happy,0.84245661,0.79671717,0.81894873,2376
016_logreg_word_char_c1_weightbalanced,sad,0.60431034,0.63611615,0.61980548,1102
016_logreg_word_char_c1_weightbalanced,angry,0.77306469,0.75154639,0.76215369,1940
016_logreg_word_char_c1_weightbalanced,fear,0.57762557,0.64705882,0.61037394,391
016_logreg_word_char_c1_weightbalanced,surprise,0.52500000,0.57403189,0.54842220,439
macbert_lr1e-5_seed42_4090,neutral,0.77936185,0.78042148,0.77989130,1471
macbert_lr1e-5_seed42_4090,happy,0.83407348,0.86952862,0.85143210,2376
macbert_lr1e-5_seed42_4090,sad,0.66034483,0.69509982,0.67727675,1102
macbert_lr1e-5_seed42_4090,angry,0.83897835,0.77886598,0.80780540,1940
macbert_lr1e-5_seed42_4090,fear,0.65239295,0.66240409,0.65736041,391
macbert_lr1e-5_seed42_4090,surprise,0.63503650,0.59453303,0.61411765,439
